model,rev,fw_ver,fw_url,fsize,fdate,sha1,md5
DAP-3690,A,v1.00r03,ftp://files.dlink.com.au/products/DAP-3690/REV_A/Firmware/Firmware_1.00.011/DAP-3690-firmware-v1.00rc011.zip,6998313,1318421760.0,80ca3002bc6a3024868d3241123ca3de5183f959,1d1472429536541652d7035f010fb980
DCH-M225,A,v1.04b05,ftp://files.dlink.com.au/products/DCH-M225/REV_A/Firmware/v1.04b05/DCHM225_FW104b05.bin,6664340,1455901500.0,3e7b9ede58e556bbd873621ae86512465287008b,45ddf84a5a47f3f61e788b64187db9cf
DCH-M225,A,v1.02b01,ftp://files.dlink.com.au/products/DCH-M225/REV_A/Firmware/v1.02b01/DCHM225_FW102b01.bin,6533268,1406570760.0,825091959b0c6a0f71a905bbf61853f046a22b25,aca7a54cb579f39c22622803deb87c11
DCH-M225,A,v1.01b02,ftp://files.dlink.com.au/products/DCH-M225/REV_A/Firmware/v1.01b02/DCHM225_FW101b02.bin,6533268,1403283360.0,3e2943c4f45becb8fa1e18e269413c732a3fd99b,d40c78e40563432c7a574499d0d20650
DCH-M225,A,v1.00b27,ftp://files.dlink.com.au/products/DCH-M225/REV_A/Firmware/v1.00b27/DCHM225_FW100b27_e5re.bin,6533268,1401394200.0,89539c4c0fad81f5a468b163f6470376f8015cb7,6b76fd1ff225c864722ce5c9ea11cc30
DCS-1000,A,v1.30,ftp://files.dlink.com.au/products/DCS-1000/REV_A/Firmware/v1.30/v130.BIN,524288,1060858140.0,976c5c7c75e2be2502a31e0dc0b47529cd6adb23,221612bed1bb99c4bac8b846103a34f2
DCS-1000W,A,v2.20,ftp://files.dlink.com.au/products/DCS-1000W/REV_A/Firmware/v2.20/v220.BIN,524288,1072873080.0,48cfa0d8228cc6ca7643342075f85a66a5f10505,34873d9ac8d389c5e8d64a1dfcb0c01f
DCS-2100,A,v1.03,ftp://files.dlink.com.au/products/DCS-2100/REV_A/Firmware/Firmware_v1.03/DCS_2100_1.03b.BIN,1513817,1256039520.0,904a251042c31b2a984b5d0eae8ac3e0b15eacc2,b3d7f8be9ea12eebe0174e473909ff27
DCS-2100,A,v1.03,ftp://files.dlink.com.au/products/DCS-2100/REV_A/Firmware/Firmware_v1.03/DCS_2100_1.03b.BIN,1513817,1256039520.0,904a251042c31b2a984b5d0eae8ac3e0b15eacc2,b3d7f8be9ea12eebe0174e473909ff27
DCS-2000,A,v1.06g,ftp://files.dlink.com.au/products/DCS-2000/REV_A/Firmware/v1.06g/dcs2000_firmware_106g.bin,1487001,1085503920.0,ff6f2344022521983df6331e9880421bac803e70,1874be61e477d352b8e7dc799b445f35
DCS-2102,A,v1.05,ftp://files.dlink.com.au/products/DCS-2102/REV_A/Firmware/Firmware_v1.05/DCS-2102_A2_FW_1.05.zip,6627286,1294324440.0,d4bdaa84896897c5f8ece44edb2f0d8b88b3714c,e730d39232a8e328486c2174fa84bbcc
