model,rev,fw_ver,fw_url,date,fsize,sha1,md5
DWR-921,,3.00,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1500161&fileName=D-Link_DWR-921C1_Release%20Note_20150410_V3.00b07.xlsx&fileSize=8125863.0;14290.0;,2015-09-03 00:00:00,14290,6491f6581a26b873dbdf0d91ca91390c14825eee,d3a8dc30cbcc3c2bf4e021b9df1ac25c
DWM-221,,,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1400792&fileName=DWM-221%20B1_FW%202.0.2WW(DTLW3_D600B_04A0_0300_V1.0.1.0_140819).exe&fileSize=78048.0;7.4055224E7;,2016-06-09 00:00:00,74055224,b401cd4041760f6ac67c22eae6fa32c3c7c57a27,5c3c2ef65ab5d1e24e05a32ccbce81c5
DWR-921,,,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1300285&fileName=20130424_D-Link_DWR-921_V1.00(PL)b01.BIN&fileSize=13897.0;3952029.0;,2014-06-05 00:00:00,3952029,08a33553b6406a44f651e60054eb91d17360efa1,1f488f9717576af28a9ff9185aed4d40
DWR-921,,2.01,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1400591&fileName=20140917_D-link_DWR-921B1_V2.01b03.bin&fileSize=4587259.0;15509.0;,2014-10-16 00:00:00,4587259,42cdfbcc5c43402c85f8e71003dda79ca1b5e723,4786e5ffc9ee6dc839ddac6da399ae9e
DWR-730,,,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1500771&fileName=DWR-730%20B2%202.22_EU.7z&fileSize=87046.0;12835.0;5.6876115E7;,2015-11-04 00:00:00,56876115,4781105e7aeaf76196da337ef64c62198c145ab9,15b7116ea6b9c9dc11f23cc5f168874c
DWR-921,,3.01,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1500253&fileName=20150504_D-link_DWR-921C1_V3.01(WW)b01.bin&fileSize=15954.0;8150439.0;,2015-09-03 00:00:00,8150439,7fbf09a35c7a204af949d6b69a01b72db5de20e4,03c1cd1402191a8bcb6d3aec35164cf8
DWR-922,,6.01,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1500770&fileName=20151014D-link_DWR-922F1_V6.01(VF)b02.bin&fileSize=55427.0;6312289.0;,2016-01-14 00:00:00,6312289,eef25696783f849954ba2e64807b2fee4bd4826e,85b6d04afac993e6d31caa7b4a5d30f3
DWR-730,,,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1400336&fileName=DWR-730%20B1%20V2.05_ME.tar&fileSize=89720.0;2.8311552E7;,2014-10-07 00:00:00,28311552,d7c8b3daa72e981542616bf3c845dea84d5558fc,e1ae2688dd221d375be1555fe028c060
DWM-221,,,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=DST1400771&fileName=DWM-221%20B1%20FW%202.0.1EU_DTLW8_D600B_04A0_0300_V1.0.2.4_140819(2.0.1EU).exe&fileSize=79917.0;7.5034352E7;,2014-10-07 00:00:00,75034352,cd40b517c65eed6d38d67258509cda2358f1f546,0e7a639ecd916a82337749500fd606bf
DWS-3000,,2.1.0.10,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR0800211&fileName=DWL-3500AP_A2_DWL-8500AP_A2_v2.1.0.10.tar&fileSize=64000.0;53760.0;5765120.0;,2014-06-05 00:00:00,5765120,0e334ba99fae4adc2ef7ca6ffbcc07d80ee4f6f7,80793ec89d93b94aac0b39c065d87ada
DWS-3000,,2.1.0.10,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR0800211&fileName=DWL-3500AP_A2_DWL-8500AP_A2_v2.1.0.10.tar&fileSize=64000.0;53760.0;5765120.0;,2014-06-05 00:00:00,5765120,0e334ba99fae4adc2ef7ca6ffbcc07d80ee4f6f7,80793ec89d93b94aac0b39c065d87ada
DWS-3000,,2.2.0.4,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR0800544&fileName=DWL-3500_8500AP_A2_FW_V2.2.0.4.tar&fileSize=61440.0;71680.0;5785600.0;,2014-06-05 00:00:00,5785600,42bd69ca3cd5db62954cdf68751ce9b9260f49f9,a4596000a3ce3a812ee3c68115f80c62
DWR-953,,1.00,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR1600086&fileName=20160301_D-link_DWR-953A1_V1.00b06.bin&fileSize=1.0534119E7;1.0636519E7;,2016-05-06 00:00:00,10636519,fbc59a01dddabddc7cdf28cf4c0d56189eed08cf,8a4f2ce0796d1dbd189c0259ca3626d2
DWS-3000,,2.2.0.7,http://pmdap.dlink.com.tw/PMD/GetAgileFile?itemNumber=FIR0900019&fileName=DWL-3500AP%268500AP_A2_FW_v2.2.0.7(for%20ww).tar.tar&fileSize=72704.0;83456.0;5785600.0;,2014-06-05 00:00:00,5785600,15f95ada10750a91f694702f5ce5167d0a418f8c,5c6caace4bb473afba2c3e2f20366d9a
