model,fver,fname,furl,fdate,fsize,sha1,md5
V310,1.00(AABT.2)C0,V310_1.00(AABT.2)C0.zip,ftp://ftp2.zyxel.com/V310/firmware/V310_1.00(AABT.2)C0.zip,2012-04-26 00:00:00,7845995,98fe0ee5badc9ead0f6983be6b8557c1c664ed28,d2154cc0df6b4216ea5acf6741f16c72
V630,V1.00(BAC.1)C0,V630_V1.00(BAC.1)C0.rar,ftp://ftp2.zyxel.com/V630/firmware/V630_V1.00(BAC.1)C0.rar,2008-12-09 00:00:00,1096437,77c2a8dd27408f9aca477ab87795c5636deaa247,bb5df51bd5badddd706b22d83839b8a0
VES-1616PE-54,3.80(BHW.0)C0,VES-1616PE-54_3.80(BHW.0)C0.zip,ftp://ftp2.zyxel.com/VES-1616PE-54/firmware/VES-1616PE-54_3.80(BHW.0)C0.zip,2010-05-05 00:00:00,19734347,ba3c3bbb28e2d5503ad86ff14368fb2c4ca0fa0c,051a0ab15673cd165e695ab71f282a41
VMG3925-B10B,5.11(AAVF.3)C0,VMG3925-B10B_5.11(AAVF.3)C0.zip,ftp://ftp2.zyxel.com/VMG3925-B10B/firmware/VMG3925-B10B_5.11(AAVF.3)C0.zip,2016-11-17 00:00:00,25458702,36e1a83088106805091b4982165eedea87e6dc92,131b9eb931879af1fb808df50ce211e3
VMG5313-B30B,5.11(ABCU.1)C0,VMG5313-B30B_5.11(ABCU.1)C0.zip,ftp://ftp2.zyxel.com/VMG5313-B30B/firmware/VMG5313-B30B_5.11(ABCU.1)C0.zip,2016-09-08 00:00:00,29698041,8b5fd38731fa2ed2ef58a1e1818cad3836826883,780c600ab2aa566b058a057cd1643a6e
VSG1432-B101,1.12(AADX.4)C0,VSG1432-B101_1.12(AADX.4)C0.zip,ftp://ftp2.zyxel.com/VSG1432-B101/firmware/VSG1432-B101_1.12(AADX.4)C0.zip,2016-07-06 00:00:00,8246926,03bfcddac69f929e0b9eb904acf9ce0c6616af6d,320f6ded63574442bec3a942d17cc2bb
WAH7130,1.00(AAGY.2)C0,WAH7130_1.00(AAGY.2)C0.zip,ftp://ftp2.zyxel.com/WAH7130/firmware/WAH7130_1.00(AAGY.2)C0.zip,2013-03-11 00:00:00,6102676,807f0e19f5db4c2348cea332bbaed438949249ca,e826eb062a88deaa5f274001ec863f38
WRE6505 v2,V1.00(ABDV.0)C0,WRE6505 v2_V1.00(ABDV.0)C0.zip,ftp://ftp2.zyxel.com/WRE6505_v2/firmware/WRE6505 v2_V1.00(ABDV.0)C0.zip,2016-10-31 00:00:00,3298520,f879e948add8f8b539a5e941f2ad552d4be86328,ade6202f1db20e9cdc893e6e5bd9db1e
WRE6606,V1.00(ABDU.0)C0,WRE6606_V1.00(ABDU.0)C0.zip,ftp://ftp2.zyxel.com/WRE6606/firmware/WRE6606_V1.00(ABDU.0)C0.zip,2016-11-30 00:00:00,7668895,46d90990498270418b61a5a6db7c887d8cf04cd0,1836bbaaea07f2179ad30755472d73a4
XGS4700-48F,4.00(BVG.0)C0,XGS4700-48F_4.00(BVG.0)C0.zip,ftp://ftp2.zyxel.com/XGS4700-48F/firmware/XGS4700-48F_4.00(BVG.0)C0.zip,2011-10-27 00:00:00,5158211,f0722b9406051603070513360a5267fecd41e171,887aa9979667b7d2040483e2f32cdfe1
omni.net LCD Plus,1.02,omni.net LCD Plus_1.02.zip,ftp://ftp2.zyxel.com/omni.net_LCD_Plus/firmware/omni.net LCD Plus_1.02.zip,2002-04-24 00:00:00,232560,2953510d9b5d8b9423ebd0d2afab5a788209a17b,7d389626119b787e6508def0e60f34e4
