model,fver,fname,furl,fdate,fsize,sha1,md5
FI9828W,V-2.x.1.119,6356271817682812502071869294.zip,http://www.foscam.com/Private/ProductFiles/6356271817682812502071869294.zip,2015-03-23 06:37:32+00:00,12420872,b9c39dcd597501d50a16f2a822f1357a3ef0dd0e,2bd58a95d6f94819e3fb212e3c389360
FI9828W,V-2.x.1.118,6355484542504687502104743529.zip,http://www.foscam.com/Private/ProductFiles/6355484542504687502104743529.zip,2014-12-30 06:22:30+00:00,12389838,d9f4268ed48fa743a973d6785dcaeb22750a785f,4f253f1c3f5ccb9968beace3f69db1f2
FI9828W,V-2.13.2.8,FI9828W-2.13.2.8-20140411.zip,http://www.foscam.com/Private/ProductFiles/FI9828W-2.13.2.8-20140411.zip,2014-08-26 07:26:55+00:00,12875919,2877cb9c5a168110c3d2f3defefbc8ba054f94a3,d1b0c0297282fac274f259358d38407b
FI9828W,V-2.13.1.5,FI9828W-2.13.1.5-20140122.zip,http://www.foscam.com/Private/ProductFiles/FI9828W-2.13.1.5-20140122.zip,2014-08-26 07:54:21+00:00,17460500,7da2ec9240bb8cdc3125c32270eb531a8f9813c0,ea26fbb528be58ff80b525183e70a9e7
FI9821P,V-2.x.1.119,6356271829814062502033515722.zip,http://www.foscam.com/Private/ProductFiles/6356271829814062502033515722.zip,2015-03-23 07:22:46+00:00,12420872,b9c39dcd597501d50a16f2a822f1357a3ef0dd0e,2bd58a95d6f94819e3fb212e3c389360
FI9821P,V-2.x.1.118,6355484522135937501605231437.zip,http://www.foscam.com/Private/ProductFiles/6355484522135937501605231437.zip,2014-12-30 06:22:50+00:00,12389838,d9f4268ed48fa743a973d6785dcaeb22750a785f,4f253f1c3f5ccb9968beace3f69db1f2
FI9821P,V-2.11.2.8,FI9821P-2.11.2.8-20140410.zip,http://www.foscam.com/Private/ProductFiles/FI9821P-2.11.2.8-20140410.zip,2014-08-26 07:27:38+00:00,12863038,2ce4bebd593c43485af3ad807c068ef9b2852129,53f700f4e571f2a76a5e9250ebacf7ac
FI9821P,V-2.11.1.6,FI9821P-2.11.1.6-20140213.zip,http://www.foscam.com/Private/ProductFiles/FI9821P-2.11.1.6-20140213.zip,2013-02-25 08:15:00+00:00,17464872,dc050dc7e69ac21ab11bd051f461a36d6e70597c,7c8f7ba48cef7a7dfaec540b1d697407
FI9821P,V-1.11.1.21,FI9821P-1.11.1.21-20140102.zip,http://www.foscam.com/Private/ProductFiles/FI9821P-1.11.1.21-20140102.zip,2014-01-02 06:36:55+00:00,17128169,cef715d0d272c5fb9c5fb756a505111ae510907e,35ed269e1cd3e84097603ea6c703413f
FI9821P,V-1.11.1.19,FI9821P-1.11.1.19-20130922.zip,http://www.foscam.com/Private/ProductFiles/FI9821P-1.11.1.19-20130922.zip,2013-09-24 06:47:43+00:00,8587289,8d54a9fad450bb06bd704d9cb06c1d51423b61ef,b26c03b8a2109e46104f09108d11c365
FI9831W,V-2.x.1.119,635627185043281250548008329.zip,http://www.foscam.com/Private/ProductFiles/635627185043281250548008329.zip,2015-03-23 06:42:47+00:00,12420872,b9c39dcd597501d50a16f2a822f1357a3ef0dd0e,2bd58a95d6f94819e3fb212e3c389360
FI9831W,V-2.x.1.118,6355484516420312501049586781.zip,http://www.foscam.com/Private/ProductFiles/6355484516420312501049586781.zip,2014-12-30 06:23:10+00:00,12389838,d9f4268ed48fa743a973d6785dcaeb22750a785f,4f253f1c3f5ccb9968beace3f69db1f2
FI9831W,V-2.11.2.8,FI9831W-2.11.2.8-20140410.zip,http://www.foscam.com/Private/ProductFiles/FI9831W-2.11.2.8-20140410.zip,2014-08-26 07:28:58+00:00,12867112,82d0ff4bab0cfcc949b1ad9a86d880a082e3a3e0,2ce7e1c55d9787b362fd0a1c53043cf3
FI9831W,V-2.11.1.6,FI9831W-2.11.1.6-20140213.zip,http://www.foscam.com/Private/ProductFiles/FI9831W-2.11.1.6-20140213.zip,2013-02-14 06:52:00+00:00,17465942,bae7f012cf6c7883ae2c718fd3219d3ea53324c2,0a905195111afcd0c5880a635b2839cd
FI9831W,V-1.11.1.14,FI9831W-1.11.1.14-20131223.zip,http://www.foscam.com/Private/ProductFiles/FI9831W-1.11.1.14-20131223.zip,2013-12-23 11:40:20+00:00,17079000,cbc8855209c57de65886a150ff066f65b7aba656,e0343cd4c0226e21242ed2a740b45171
FI9831W,V-1.11.1.12,FI9831W-1.11.1.12-20130922.zip,http://www.foscam.com/Private/ProductFiles/FI9831W-1.11.1.12-20130922.zip,2013-09-24 06:48:05+00:00,8597741,d02b1e083b423fdfaea293a83e78e36a72129b95,cfdfb94c519b9df7ed1b5018a27e4813
FI9831P,V-2.x.1.119,6356271861104687502066504646.zip,http://www.foscam.com/Private/ProductFiles/6356271861104687502066504646.zip,2015-03-23 06:44:59+00:00,12420872,b9c39dcd597501d50a16f2a822f1357a3ef0dd0e,2bd58a95d6f94819e3fb212e3c389360
FI9831P,V-2.x.1.118,6355484499226562501567658056.zip,http://www.foscam.com/Private/ProductFiles/6355484499226562501567658056.zip,2014-12-30 06:23:28+00:00,12389838,d9f4268ed48fa743a973d6785dcaeb22750a785f,4f253f1c3f5ccb9968beace3f69db1f2
FI9831P,V-2.11.1.10,FI9831P_2.11.1.10-20140805.zip,http://www.foscam.com/Private/ProductFiles/FI9831P_2.11.1.10-20140805.zip,2014-08-26 08:12:54+00:00,7222741,d665036ef9e3c5619fc125abc30d831a1484ab54,4f3c5adb843081bbdb73688fb5d8f17d
FI9821W,V-2.x.1.119,63562718754281250063874282.zip,http://www.foscam.com/Private/ProductFiles/63562718754281250063874282.zip,2015-03-23 06:46:53+00:00,12420872,b9c39dcd597501d50a16f2a822f1357a3ef0dd0e,2bd58a95d6f94819e3fb212e3c389360
FI9821W,V-2.x.1.118,6355484482482812501245014100.zip,http://www.foscam.com/Private/ProductFiles/6355484482482812501245014100.zip,2014-12-30 06:23:46+00:00,12389838,d9f4268ed48fa743a973d6785dcaeb22750a785f,4f253f1c3f5ccb9968beace3f69db1f2
FI9821W,V-2.11.2.8,FI9821W V2-2.11.2.8-20140408.zip,http://www.foscam.com/Private/ProductFiles/FI9821W V2-2.11.2.8-20140408.zip,2014-08-26 07:39:54+00:00,12941875,9792894a5d2fc1aebb188f85d1ce578fcd14f71c,aacc64cc3b73dc6184bb35f76727674e
FI9821W,V-2.11.1.6,FI9821W V2-2.11.1.6-20140219.zip,http://www.foscam.com/Private/ProductFiles/FI9821W V2-2.11.1.6-20140219.zip,2013-02-19 08:41:00+00:00,17469986,30faac29c6acb7a08f8b4177985716f17b8df3f4,5b06d5079a135a483d01cee56e4cc4ce
FI9821W,V-1.11.1.18,FI9821W V2-1.11.1.18-20131113.zip,http://www.foscam.com/Private/ProductFiles/FI9821W V2-1.11.1.18-20131113.zip,2013-12-16 02:08:07+00:00,16868187,5ab2a1ae9dd4c7d7a008c97c66ce90d87fd70d67,e42e3eee74c36e999e26572bef2a3726
