model,rev,fw_ver,fw_url,fsize,fdate,sha1,md5
DAP-1525,A,1.02,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1525/REVA/DAP-1525_FIRMWARE_1.02.ZIP,3539518,1414972800.0,2d6140d957a2aafb73c1d124fd845c0afda443ef,eeb804134e83cbe2113d66a03c53e815
DAP-1525,A,1.01,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1525/REVA/DAP-1525_FIRMWARE_1.01.ZIP,3541115,1414972800.0,ebe7f3a6fe15d664c5a521383f3b4275e94acc4f,ade2e0180e13302b4caa47b769da8f94
DAP-1533,A,1.02B,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1533/REVA/DAP-1533_FIRMWARE_1.02B.ZIP,4635535,1414972800.0,0625a7982872084830a2ff4116c9c35efbe980b0,482900fc71fb6f395c5d7c7caa46d736
DAP-1533,A,1.01B,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1533/REVA/DAP-1533_FIRMWARE_1.01B.ZIP,4478107,1373500800.0,09cc8309f8fe3159e9a84ac43c599459ea4ae88f,1e4a5cb280afab3652169e3c2b726d49
DAP-1562,A,1.10,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1562/REVA/DAP-1562_FIRMWARE_1.10.ZIP,6347744,1373500800.0,1ce2d4701be43e441e8f42219f4ebad39c886623,7314aadf446ac5b8226366281f332d15
DAP-1562,A,1.00,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1562/REVA/DAP-1562_FIRMWARE_1.00.ZIP,7634878,1373500800.0,4ef24d138aa39832c5a0633e55727442a2e20840,f0c058802fefdee5360acd283e69ff90
DAP-1620,A,1.03.B08,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1620/REVA/DAP-1620_REVA_FIRMWARE_1.03.B08.ZIP,4007671,1458604800.0,a2269797d5b28f2bc9a736175ca16cb92650bcf2,7169bfd9596377a280484836b46381ad
DAP-1620,A,1.04.B04.BETA03,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1620/REVA/DAP-1620_REVA_FIRMWARE_PATCH_1.04.B04_BETA03.ZIP,4128960,1474394760.0,dbc795652b11c65ce757ef1c705d1a548dde8124,25799817d0a175d899bf6440c3ec4ca1
DAP-1620,A,1.04.B04,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1620/REVA/DIR-1620_REVA_FIRMWARE_1.04.B04.ZIP,4270010,1466589000.0,2f2c0a84b821e85d815c83170216b18b327a122f,3987b2337b6d6e2e37f726fd730d2237
DAP-1620,A,1.01.B05,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1620/REVA/DAP-1620_REVA_FIRMWARE_1.01.B05.ZIP,4083024,1454371200.0,7ac004d460713f1893ef57fac835fc0be55a3234,f24ebb8c43165d88654ab034822057df
DAP-1650,A,1.02B02,ftp://ftp2.dlink.com/PRODUCTS/DAP-1650/REVA/DAP-1650_REVA_FIRMWARE_1.02B02.ZIP,7897957,1414972800.0,95d216311b30a092b0e213d32d1e30367488dd2d,28ddc652b8c6a622f692d8813519bd3b
DAP-1650,A,1.03.B07,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1650/REVA/DAP-1650_REVA_FIRMWARE_1.03.B07_WW.ZIP,8045707,1463564580.0,d507e3a65236d5e87e77fad6dd88b82925cd4bb3,e7e85029ccfb6fe1f5cd349c09574ca4
DAP-1860,A,1.00.B36,ftp://FTP2.DLINK.COM/PRODUCTS/DAP-1860/REVA/DAP-1860_REVA_FIRMWARE_1.00.B36.ZIP,6455034,1475007780.0,c202e60dd514bc64b311eddc087c11e4c78dd2c5,132802afa2eaa701578f9414789c14b6
DCH-M225,A,1.00.B27,ftp://ftp2.dlink.com/PRODUCTS/DCH-M225/REVA/DCH-M225_REVA_FIRMWARE_1.00B27.ZIP,6466824,1427328000.0,b7da777c31d028ed8e800b21638ea3d6ff9bab36,b362d8e5dace2bd031e63742fb22df65
