model,fver,fname,furl,fdate,fsize,sha1,md5
D301,V1.2.1.15_EN,US_D301V1.0br_V1.2.1.15_en_PLE02.rar,http://down.tendacn.com/uploadfile/2016/Firmware/US_D301V1.0br_V1.2.1.15_en_PLE02.rar,2016-07-08 08:53:37+00:00,7088376,54ebe61a20f5f051cfe40645612b86ed02d3c8b5,dc1581b57a38e337211ed372bec9a9ff
O3,V1.0.0.3_EN,US_O3V1.0BR_V1.0.0.3_EN.rar,http://down.tendacn.com/uploadfile/2015/Firmware/US_O3V1.0BR_V1.0.0.3_EN.rar,2015-12-03 08:33:40+00:00,4898971,8fa7fdbaf05d432dec22798851f105ae5a17f265,a249c7baafbf4eb12f6b62d1fd300393
FH330(V2.0),V1.0.3.1_EN,US_FH330V2.0BR_V1.0.3.1_EN_TD .rar,http://down.tendacn.com/uploadfile/201401/FH330/US_FH330V2.0BR_V1.0.3.1_EN_TD .rar,2015-04-14 02:39:04+00:00,876642,399eb427ae53ade027fff330742a0bc78840e85c,b3bcd6b430e4c8983a6b36758a2be0ee
AC9,V15.03.2.10_EN,US_AC9V1.0BR_V15.03.2.10_multi_TD01.rar,http://down.tendacn.com/uploadfile/2015/AC9/US_AC9V1.0BR_V15.03.2.10_multi_TD01.rar,2016-05-16 06:36:52+00:00,7901351,9a1f064d1049d94c1858a410a68777078a22f9a7,386ec067d3962466647025bad8c25464
D303,Thailand),US_D303V1.0br_V5.2.1.27_en_PLE01.rar,http://down.tendacn.com/uploadfile/2016/Firmware/D303/US_D303V1.0br_V5.2.1.27_en_PLE01.rar,2016-06-21 08:50:20+00:00,7206330,99a0426464aaa1e82da881d1e88932117334082c,ca29eef8bf5339f7c7dffc8b8726a5df
FH1202,V1.2.0.19_EN,V1.2.0.19_en.rar,http://down.tendacn.com/uploadfile/201401/FH1202/V1.2.0.19_en.rar,2016-03-17 07:37:34+00:00,7205876,a31cbf66438145a1cb3c2302048e7b82c3ea9a06,75dbc33ebb0e20b33a3213b875e17667
W1500A,V1.0.1.30_EN,US_W1500ABR_V1.0.1.30_en.rar,http://down.tendacn.com/uploadfile/201401/W1500A/US_W1500ABR_V1.0.1.30_en.rar,2015-12-01 02:16:27+00:00,5021481,d3400b9e527b80f272ff621217cb10eeffb8d598,75cdb368f6735e41b388af02c4df2eb5
W3002R,V5.07.70_EN(For,US_W3002RV1BR_V5.07.70_en_FOR_FOR01.rar,http://down.tendacn.com/uploadfile/201401/W3002R/US_W3002RV1BR_V5.07.70_en_FOR_FOR01.rar,2015-01-09 07:39:38+00:00,1060971,c08eecfab34d540f00fa0d5174432fdce0766180,0cd6a807e22d74952b383bd3c75949e0
W316R,V5.07.53_EN(For,US_W316RV3BR_V5.07.53_en_FOR01.rar,http://down.tendacn.com/uploadfile/201401/W316R/US_W316RV3BR_V5.07.53_en_FOR01.rar,2015-01-09 07:39:44+00:00,1036129,93ccaaffc7e7a0461c941775aad9616d84481559,163862a744a6e1be645dad697851fe8a
W150Dï1⁄4V5.0ï1⁄4,V1.1.0.12_EN(For,US_W150DV5.0Br_V1.1.0.12_en_ANY.rar,http://down.tendacn.com/uploadfile/201401/W150D/US_W150DV5.0Br_V1.1.0.12_en_ANY.rar,2015-07-18 08:41:52+00:00,3798336,f31c959037c108a33fa0a109591d100cedf88bdf,6a187238193acf40e4cc583ad5451017
FH1202,V1.2.0.17(862)_en_LAS01,US_FH1202V1.0br_V1.2.0.17(862)_en_LAS01.rar,http://down.tendacn.com/uploadfile/2016/Firmware/US_FH1202V1.0br_V1.2.0.17(862)_en_LAS01.rar,2016-07-07 06:02:39+00:00,7234948,c8f50484a524513039a76dd6085c6d13176a2827,164d70bb908e38481806cb29a909712a
N301,V5.07.55_EN(For,US_N301v1.0BR_V5.07.55_en_FOR01.rar,http://down.tendacn.com/uploadfile/201401/N301/US_N301v1.0BR_V5.07.55_en_FOR01.rar,2015-01-09 07:39:32+00:00,1036391,4d8872bb43d47685a55e70d879aff8572717eba8,aa96845c3756fa293e9113adbdfd13ef
