model,hw_rev,fver,furl,fdate,fsize,sha1,md5
RE3000W,2.0,2.0.01.002,http://downloads.linksys.com/downloads/firmware/FW_RE3000Wv2_v2.0.01.002.bin,2016-06-29 03:04:19+00:00,3681290,cfa3303e2bc0d54aca02efa7d467b4f92a4d36ac,2e4ff334ab86829f4e46b4afa2526288
RE4000W,1.0,1.0.00.006,"http://downloads.linksys.com/downloads/firmware/FW_RE4000W_v1.0.00.006_20140402,0.bin",2014-10-28 18:59:30+00:00,3337114,83b04dfc2d8b4ee4ba0ae3685b8dc821cc5e9b04,a0f1a9be468281c60e115223685cef7e
RE4100W,1.0,1.0.01.009,http://cache-www.belkin.com/support/dl/FW_RE4100W_v1.0.01.009_20160304.bin,2016-03-22 06:59:35+00:00,6803571,3d554211d44d573df5536af17b490145b2db098b,e73f8ebc852cdb8536840b74926d74d4
RE6500,US,1.0.06.011,http://downloads.linksys.com/downloads/firmware/FW_RE6500_v1.0.06.011_20160621.gpg.bin,2016-07-15 02:51:55+00:00,7303981,cd573763a083b5bad026178333a27babc3a4b307,c16f934e14565fbfe5ef74232931630f
RE6300,1.0,1.1.01.003,http://downloads.linksys.com/downloads/firmware/FW_RE6300_RE6400_v1.1.01.003_20160422.bin,2016-05-12 04:40:13+00:00,7276513,1c0da55a1d2078d514bd47680e42fcda058e3d75,cc6de6ab6e57a2a6f6aed78eb269efed
RE6500,US,1.0.05.003,http://downloads.linksys.com/downloads/firmware/FW_RE6500_v1.0.05.003_20160305.bin,2016-05-12 02:04:01+00:00,7115482,c77bf594da7cfd5d1dfb831992354aa121850836,19c42ea5e2182dc60838b17152bed3c2
RE6700,1.0,1.1.01.003,http://downloads.linksys.com/downloads/firmware/FW_RE6700_v1.1.01.003_20160422.bin,2016-05-12 04:37:41+00:00,7276513,1c0da55a1d2078d514bd47680e42fcda058e3d75,cc6de6ab6e57a2a6f6aed78eb269efed
RE7000,1.0,1.0.01.005,http://downloads.linksys.com/downloads/firmware/FW_RE7000_v1.0.01.005_20160630.gpg.bin,2016-08-30 00:22:31+00:00,7823223,7fc7a0cc9c72219f0d930644519fae14ffd70aca,25407999c8f026ca9ce3fa359dbcee68
WAG120N,1.0,1.00.20,http://downloads.linksys.com/downloads/firmware/1224644819885/WAG120N-EU-ANNEXA-ETSI-1.00.20-code.bin,2014-11-21 06:45:16+00:00,4194304,136f7675f45fd228ae63e07acd02ff226078e98b,15640dd3b6557068f095f30ca9431725
WAG120N,1.0,1.00.19,http://downloads.linksys.com/downloads/firmware/1224650458583/WAG120N-EU-ANNEXB-ETSI-1.00.19-code.bin,2014-12-09 01:55:14+00:00,4194304,43385a9ea2a1e54f8a80bae27f2101d37bfea822,52d6fa830e31ff96289f8aa41ac713af
WAG320N,1.0,1.00.13,http://downloads.linksys.com/downloads/firmware/1224645184511/WAG320N-EU-ANNEXA-ETSI-1.00.13.bin,2014-10-28 18:59:18+00:00,8388608,56ea7da18c77a9a978fb1b7bdc581c5dbfd5e399,c42ead184fd050f05ab327e107bb8d02
WAP300N,1.0,1.0.04,http://downloads.linksys.com/downloads/firmware/FW_WAP300N_v1.0.04.005_20160310.bin,2016-05-10 02:39:26+00:00,5520792,ba505dd6c0dfe3aefb069442005a2eb3343fd1a0,8ef0243360875c8dfafd6fc316e2d999
WAP54G,1.0,1.0,http://downloads.linksys.com/downloads/firmware/wap54g_fw_ver10_logviewer.zip,2014-10-28 18:59:15+00:00,281106,6d48c1352d384a983165eae5cf7bf5a7beaf805b,d9c550484a12952576607936db23118d
WAP610N,1.0,1.0.05,http://downloads.linksys.com/downloads/firmware/1224643116771/FW_WAP610N_v1.0.05.002_20140321.bin,2014-10-28 18:59:18+00:00,3398704,3cff13b5cadb5dcb0497976fb10133a414c9dfcc,b2763fb944038896afd1bf324d66c2bf
WES610N,2.0,2.0.01.004,http://downloads.linksys.com/downloads/firmware/1224697108353/FW_WES610N_v2.0.01.004_20130719.bin,2014-10-28 18:59:30+00:00,3095884,dcdae4a20571baa5861a06f366ae1fcf41c1a1f6,491943d1fe2ce0b82d331ed0ff30cb7f
WES610N,1.0,1.0.06,http://downloads.linksys.com/downloads/firmware/1224668058222/FW_WES610N_WET610N_v1.0.06.007_20140318.bin,2014-10-28 18:59:14+00:00,2981296,ed3a86b64115ebb483a5ad76333ed51b8f7c8eaf,b87fad48da68f00ba264e4d170df4b16
