model,fver,fname,furl,fdate,fsize,sha1,md5
ipTIME N904V,9.98.4,n904v_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/n904v_kr_9_984.bin,2016-12-21 04:03:56+00:00,3354624,99d8529efe558d81c5bfa6be86765dae2488169b,8b6fa99d2876caf32eb2023f5028da2a
ipTIME N904plus,9.98.4,n904_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/n904_kr_9_984.bin,2016-12-21 04:03:56+00:00,3354624,08c1d307e0d79ad8e6142df269bf5bbb1614a5c4,8de53d85123b8985aab2e56bb2a832a2
ipTIME N904,9.98.4,n904_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/n904_kr_9_984.bin,2016-12-21 04:03:56+00:00,3354624,08c1d307e0d79ad8e6142df269bf5bbb1614a5c4,8de53d85123b8985aab2e56bb2a832a2
ipTIME N8004V,9.98.4,n8004v_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/n8004v_kr_9_984.bin,2016-12-21 04:03:56+00:00,3375104,c476540fbf260804ae1c0241797a9d156ca6d804,aab9674531033731342930555ced9f63
ipTIME N8004R,9.98.4,n8004r_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/n8004r_kr_9_984.bin,2016-12-21 04:03:55+00:00,3375104,a20701607a61376933d718969c86600f4af4c65a,60c53332eb72f1150a45d6902c55679b
ipTIME N6004R,9.98.4,n6004r_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/n6004r_kr_9_984.bin,2016-12-21 04:03:55+00:00,3305472,83532dd0c2cd1275ae16ea5e8a29a0d74aacb373,d69cbeeaf551e81591955374ff59e7da
ipTIME A604V,9.98.4,a604v_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/a604v_kr_9_984.bin,2016-12-21 04:03:55+00:00,3563520,b085fc2f31f67052a0f7eff1c75d2cc3c0e4041c,949e64191d81436ddaefbb02f8acc30f
ipTIME A604,9.98.4,a604_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/a604_kr_9_984.bin,2016-12-21 04:03:54+00:00,3563520,1b681ae40fbc01b4aed097cb81d7d4798397ce52,8e7df7f7200fd6893ec54ab1ab1231f1
ipTIME A2008,9.98.4,a2008_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/a2008_kr_9_984.bin,2016-12-21 04:03:54+00:00,3825664,0985ca123b3d3c37ef51437526acfffe24d4ac2c,8a8b937b3f86cb59f2b99486db1b49a9
ipTIME A2004R,9.98.4,a2004r_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/a2004r_kr_9_984.bin,2016-12-21 04:03:52+00:00,3891200,4afa9db3c70d765898e7b3363f2840a2ed527373,e7a2afde56760e80492b6ac7a6ed650d
ipTIME A2004plus,9.98.4,a2004_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/a2004_kr_9_984.bin,2016-12-21 04:03:52+00:00,3825664,0a811a47dc1467237ea7bcdc7eed5dd5e04bc0d1,ce1bc3d263b694c0064dd585c761a168
ipTIME A2004NSplus,9.98.4,a2004ns_kr_9_984.bin,http://download.iptime.co.kr/online_upgrade/a2004ns_kr_9_984.bin,2016-12-21 04:03:54+00:00,7729152,521c3a99fc3bff70b0e27c699420320424be3181,7d0dda5f39865a20a4b1e4ed51ff0f6f
