model,rev,fw_ver,fw_url,date,fsize,sha1,md5
ALL,DCS-3420,1.02,ftp://ftp.dlink.ca/PRODUCTS/DCS-3420/DCS-3420_FIRMWARE_1.02.PKG,2013-05-01 00:00:00,,12f4be6e778062fdbcc87f113d447b564685da2c,431e694f01793b7aacbdfab713b5b24a
ALL,DCS-3411,1.02.7815,ftp://ftp.dlink.ca/PRODUCTS/DCS-3411/DCS-3411_FIRMWARE_1.02.7815.ZIP,2013-05-01 00:00:00,,4f53aebb694e9ca6b46eb77b0ea7debcbda946f6,0bfdfee987a9a1f959f9636b198cc4e1
ALL,DCS-3430,1.02.7815,ftp://ftp.dlink.ca/PRODUCTS/DCS-3430/DCS-3430_FIRMWARE_1.02.7815.ZIP,2013-05-01 00:00:00,,14c9f0db53a2fc80310364313332e5d0c2e2d5e8,c49a2605b4a53f159ada7243dd52c19b
B,DCS-3710,2.10,ftp://ftp.dlink.ca/PRODUCTS/DCS-3710/DCS-3710_REVB_FIRMWARE_2.10.01.ZIP,2013-06-26 00:00:00,,6f5e097b613233b2ec69807bac2612f989b19aa4,ebe96aec80856874d6b78cbfab477cf0
ALL,DCS-3716,1.14,ftp://ftp.dlink.ca/PRODUCTS/DCS-3716/DCS-3716_REVA_FIRMWARE_1.14.00.bin,2015-10-15 00:00:00,,f47a0057d7602149a28385d2fac252338397197a,66c57f1b9b45c77972eb1ac8b9a92607
A,DCS-4602EV,1.04,ftp://ftp.dlink.ca/PRODUCTS/DCS-4602EV/DCS-4602EV_REVA_FIRMWARE_1.04.02.bin,2016-03-17 00:00:00,,af6ee789c069977a77265106efbdc4231661dff9,a134b3af3df69e21fb32fd9d806c5960
ALL,DCS-5010L,1.13.05,ftp://ftp.dlink.ca/PRODUCTS/DCS-5010L/DCS-5010L_FIRMWARE_1.13.05.BIN,2015-12-18 00:00:00,,306ad30f9bbe90003dc8e6328fbd74caa71f3308,90291624eaeeebab651d6fe47a8e434b
ALL,DCS-5020L,1.13.05,ftp://ftp.dlink.ca/PRODUCTS/DCS-5020L/DCS-5020L_FIRMWARE_1.13.05.BIN,2015-12-18 00:00:00,,355510a1e848027a8f51edebd48f70e3616e0531,806bd0f721fa3390ce5faa11895c368f
A,DCS-4701E,1.04,ftp://ftp.dlink.ca/PRODUCTS/DCS-4701E/DCS-4701E_REVA_FIRMWARE_1.04.02.bin,2016-03-17 00:00:00,,663c67eb5872cb4516def8867fe8f673ee64d8ae,c3a8eadfcdfa27c1d17a568fe410fe3d
A,DCS-5025L,1.03,ftp://ftp.dlink.ca/PRODUCTS/DCS-5025L/DCS-5025L_FIRMWARE_1.03.07.BIN,2015-11-02 00:00:00,,f5d78cc246cf3a49db1b0253c93b1c74f88a7b16,9ae46f27e94fee77aaa0d4e0875b00cc
ALL,DCS-5220,1.02,ftp://ftp.dlink.ca/PRODUCTS/DCS-5220/DCS-5220_FIRMWARE_1.02.PKG,2013-05-01 00:00:00,,6c34bb74ba75e59087932a6346a3848310151fca,fdb0c68cbcfe2dce29503cca0a7ce19c
A,DCS-5030L,1.01.06,ftp://ftp.dlink.ca/PRODUCTS/DCS-5030L/DCS-5030L_REVA_FIRMWRE_1.01.06.BIN,2016-05-03 00:00:00,,d99792d0359602b402c9d8c4f7492a034fdde9e8,9cf09abc8fcf831f58068725d1692c3b
A,DCS-4802E,1.00.06,ftp://ftp.dlink.ca/PRODUCTS/DCS-4802E/DCS-4802E_REVA_FIRMWARE_1.00.06.bin,2016-03-31 00:00:00,,dc1af0edc9b3d97d490629edfb02d9952a11d194,d2d6582da9875b20ebbdcd2bffdffd26
ALL,DCS-5300,1.06,ftp://ftp.dlink.ca/PRODUCTS/DCS-5300/DCS-5300_FIRMWARE_1.06.BIN,2013-05-01 00:00:00,,c2e3700a6ca8d50d30d6f3426bf4081286bc93df,470d41d3ac51d2cd6e314976ce3b3ac9
A,DCS-5300G,1.02,ftp://ftp.dlink.ca/PRODUCTS/DCS-5300G/DCS-5300G_REVA_FIRMWARE_1.02.BIN,2013-05-01 00:00:00,,065b7f3b86857571259d3ebb932efd5de7278e70,a8502f87ba14c5456c0cfffc42da9b4e
A,DCS-5222L,1.14,ftp://ftp.dlink.ca/PRODUCTS/DCS-5222L/DCS-5222L_REVA_FIRMWARE_1.14.ZIP,2015-10-15 00:00:00,,5ea5750185d9b12c6cc3c2ccd87e3a76b466652e,2989957125283b7de06a4835b6574c18
B,DCS-5300G,2.05,ftp://ftp.dlink.ca/PRODUCTS/DCS-5300G/DCS-5300G_REVB_FIRMWARE_2.05.BIN,2013-05-01 00:00:00,,cf670a6530fa5d2c4e764b8b06f1c99b6418c3af,e5b5927f08348fac624a2b87d95eea45
B,DCS-5222L,2.13.02,ftp://ftp.dlink.ca/PRODUCTS/DCS-5222L/DCS-5222L_REVB_FIRMWARE_2.13.02_BETA.BIN,2016-05-03 00:00:00,,3a89f206ca0853983dd56ca15117ed014859f49e,7ddf4b315186c4c98978010e81bdcbf9
ALL,DCS-5300W,1.04,ftp://ftp.dlink.ca/PRODUCTS/DCS-5300W/DCS-5300W_FIRMWARE_1.04.BIN,2013-05-01 00:00:00,,11906e3efad6dafcb5694ceebba2e39bc08c1c47,c649ccd2a0b24670a5cc8455d7a534c9
B,DCS-5222L,2.12,ftp://ftp.dlink.ca/PRODUCTS/DCS-5222L/DCS-5222L_REVB_FIRMWARE_2.12.01.BIN,2015-10-16 00:00:00,,5d45472ef8eb45b9cda6d693add0ee9cd07056f1,d9b4538c5c6988ced688a48e391b9a0b
B,DCS-5222L/CA,2.12,ftp://ftp.dlink.ca/PRODUCTS/DCS-5222L/DCS-5222L_REVB_FIRMWARE_2.12.01.BIN,2016-02-05 00:00:00,,5d45472ef8eb45b9cda6d693add0ee9cd07056f1,d9b4538c5c6988ced688a48e391b9a0b
B,DCS-5222L/CA,2.14.04,ftp://ftp.dlink.ca/PRODUCTS/DCS-5222L/DCS-5222L_REVB_FIRMWARE_2.14.04.BIN,2016-10-03 00:00:00,,63e7f33639863cc665b8d7c9b4250974449bf2b6,84315ea5bc5e5f8b7b9e53e90c844e75
ALL,DCS-5605,1.01.7812,ftp://ftp.dlink.ca/PRODUCTS/DCS-5605/DCS-5605_FIRMWARE_1.01.7812.ZIP,2013-05-01 00:00:00,,4eca74c5874763adb63fe24f884a3dca803c28da,fe2f5273b09c594b69a26d7b4c9c2c68
A,DCS-5615,1.04.01,ftp://ftp.dlink.ca/PRODUCTS/DCS-5615/DCS-5615_REVA_FIRMWARE_1.04.01.pkg,2015-10-15 00:00:00,,bfa57b69ff4fb15093c68a14e624569c7fcbe679,2c07e921a76013c162adaed1f7a10413
ALL,DCS-5635,1.01.7812,ftp://ftp.dlink.ca/PRODUCTS/DCS-5635/DCS-5635_FIRMWARE_1.01.7812.ZIP,2013-05-01 00:00:00,,59e23cbaf38b8c56ba989f0a79dc1267cd64d7b0,c10d808ceadf1a31a8259c7bbf22c090
ALL,DCS-6010L,1.14,ftp://ftp.dlink.ca/PRODUCTS/DCS-6010L/DCS-6010L_REVA_FIRMWARE_1.14.00.BIN,2015-10-15 00:00:00,,5ee0ece06ff041c9e269aa9cbd62f68cc7578d3f,1a66b8d32eacdf2b210606e06f76fd76
A,DCS-6004L,1.03.02,ftp://ftp.dlink.ca/PRODUCTS/DCS-6004l/DCS-6004L_REVA_FIRMWARE_1.03.02.bin,2015-10-15 00:00:00,,cd8478404b74632af7f22db9924c4cf85e6c86bd,61ad69a79f56e82fded399df93bbc9e4
