model,fw_ver,fileName,fw_url,fw_date,fileSize,sha1,md5
MBR1200,1.2.2.53,MBR1200 Firmware Version 1.2.2.53WW.zip,http://www.downloads.netgear.com/files/MBR1200/MBR1200 Firmware Version 1.2.2.53WW.zip,2012-03-30 06:56:37+00:00,4839234,d5f005b295cad12d88d3ebd7cf26c31cd7d87ba0,eed196418ef496c64c315810a36b06d0
MBR1515,1.2.2.68,MBR1515-V1.2.2.68Retail.zip,http://www.downloads.netgear.com/files/GDC/MBR1515/MBR1515-V1.2.2.68Retail.zip,2012-11-25 05:41:41+00:00,5788465,231f855d9a0abb8e30c78f3f96cc091f619f2069,ba42300c5a9f135625b79afbce9a33b2
MBR1516,1.2.2.84,MBR1516-V1.2.2.84-BM.zip,http://www.downloads.netgear.com/files/GDC/MBR1516/MBR1516-V1.2.2.84-BM.zip,2014-07-10 09:52:10+00:00,20942296,3b686f1476c0b1a040eb295a32c4ddf3c04c1b1e,b04f7488d8b662c1e6a86b192d58f1a5
MBR624GU,6.01.30.59,MBR624GU Firmware Version 6.01.30.59 (North America).zip,http://www.downloads.netgear.com/files/GDC/MBR624GU/MBR624GU Firmware Version 6.01.30.59 (North America).zip,2012-05-16 02:54:54+00:00,3526644,4baa59b0b6bb13aafa019950e697c072656b2101,9f6858e32432aa7f64c95a4b12d4e1b8
MBR624GU,6.01.30.61,MBR624GU Firmware Version 6.01.30.61.zip,http://www.downloads.netgear.com/files/GDC/MBR624GU/MBR624GU Firmware Version 6.01.30.61.zip,2012-05-16 02:55:27+00:00,3558120,ebeec1916ab59f393ca2820a518e294c4eb99060,2b69392d35e5c5f8bc873b6a477e986f
MBR624GU,6.00.22.14,MBR624GU Firmware Version 6.00.22.14 (North America).zip,http://www.downloads.netgear.com/files/GDC/MBR624GU/MBR624GU Firmware Version 6.00.22.14 (North America).zip,2012-05-16 02:53:22+00:00,4047480,3533d45827697949925fbc61b6a63be3e60c4d41,a54abf9997d87d8a0f4a67c68b93f787
MBR624GU,6.00.22.12,MBR624GU Firmware Version 6.00.22.12 (North America).zip,http://www.downloads.netgear.com/files/GDC/MBR624GU/MBR624GU Firmware Version 6.00.22.12 (North America).zip,2012-05-16 02:53:22+00:00,4047463,10bce549dac6b2df54f5d8c726cf8b740ff4ca0d,de091f54b65274213634a17ca9588e4b
MBR624GU,6.00.28.43,MBR624GU Firmware Version 6.00.28.43 (North America).zip,http://www.downloads.netgear.com/files/GDC/MBR624GU/MBR624GU Firmware Version 6.00.28.43 (North America).zip,2012-05-16 02:54:22+00:00,3266896,6368c53051ba0c397a076a58088951e4ce847a96,297263c7f263af227706fa42988f1ee1
MBRN3000,1.0.0.43,MBRN3000 Firmware Version 1.0.0.43_2.0.11 (NA).zip,http://www.downloads.netgear.com/files/GDC/MBRN3000/MBRN3000 Firmware Version 1.0.0.43_2.0.11 (NA).zip,2011-12-07 13:22:47+00:00,5179559,c4c6c04485b4d675480fde246ea5b89e223b4f7f,caa427d49e7478218b99da7ac09e33bd
MBRN3000,1.0.0.72,MBRN3000-V1.0.0.72_2.0.12NA.zip,http://www.downloads.netgear.com/files/GDC/MBRN3000/MBRN3000-V1.0.0.72_2.0.12NA.zip,2012-02-19 03:58:29+00:00,5171874,e90ea7ae33bdd535d4e26ec9d0058559c0b3ed97,69e8a1f3e1ff519766c84490b6bca94c
