model,fver,furl,fname,fdate,fsize,sha1,md5
RS2212RP+,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_RS2212RP%2B_15047.pat,DSM_RS2212RP%2B_15047.pat,2017-02-21 00:00:00,214190080,f3021de3178a1f2e757fe6510d83f82a46b5a7ff,09987cfb3ccc2c5e8d038fb8e891fc59
RS3412RPxs,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_RS3412RPxs_15047.pat,DSM_RS3412RPxs_15047.pat,2017-02-21 00:00:00,225003520,529d00398906b7c572224ad5b6214f9a8cc24fef,7cf0961fd1d766f54931677fbb1bc61d
RS3614xs+,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_RS3614xs%2B_15047.pat,DSM_RS3614xs%2B_15047.pat,2017-02-21 00:00:00,225372160,272f4b945f50fd00aa13593e989cb3458227a4e4,8bd6131aa3fa452c2ad5a134cb09a542
RS3614xs,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_RS3614xs_15047.pat,DSM_RS3614xs_15047.pat,2017-02-21 00:00:00,226785280,54413501ecf421b03e129309fb95d7e1d1df4ebc,65038c62a1b60ffa33b7b511ae516cf3
RS3614RPxs,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_RS3614RPxs_15047.pat,DSM_RS3614RPxs_15047.pat,2017-02-21 00:00:00,226785280,3f736645b82449bc8470df1c7c8118ed7a18ae55,814fa8a9f07531dc67b844d29bb66807
RS2212+,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_RS2212%2B_15047.pat,DSM_RS2212%2B_15047.pat,2017-02-21 00:00:00,214200320,b8a639d7bccd1000386f88e7d4eaa5622e85b5b2,b24d2a2f382af7c45efd6232fe5d7f79
DS2415+,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_DS2415%2B_15047.pat,DSM_DS2415%2B_15047.pat,2017-02-21 00:00:00,223488000,7c80469a7d05f00ade13a770c6a83522b13eb5ec,db32c2ecaedfb3e5a0fe2e309d043e0b
DS1512+,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_DS1512%2B_15047.pat,DSM_DS1512%2B_15047.pat,2017-02-21 00:00:00,212101120,074294e119a0784d98ec3d60bde184ab4d127e16,56132e52a1b7abdf772bc1473ab73fd8
RS10613xs+,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_RS10613xs%2B_15047.pat,DSM_RS10613xs%2B_15047.pat,2017-02-21 00:00:00,229969920,32e4924373b29b6d7f0f0aaa728c1ab3b04ee247,cd5dcfa849f75faa80a5f939a3ae1564
RS3411xs,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_RS3411xs_15047.pat,DSM_RS3411xs_15047.pat,2017-02-21 00:00:00,224983040,0f1788d4b68d78273b0fe5b37c90bb1d006f8e89,587d0b42df886cf9cedd76a3495cca4f
RS18017xs+,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_RS18017xs%2B_15047.pat,DSM_RS18017xs%2B_15047.pat,2017-02-21 00:00:00,228382720,d00a12253d52dca18dc7e013c5ed3fba9de0cb23,cae500329106f4a101d67a31f64f47f7
DS3615xs,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_DS3615xs_15047.pat,DSM_DS3615xs_15047.pat,2017-02-21 00:00:00,226795520,bbb255a6a046f39dc6cae5df01b892c819c447dc,aa236642e97fe49e756c92ca60e46f1c
RS3411RPxs,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_RS3411RPxs_15047.pat,DSM_RS3411RPxs_15047.pat,2017-02-21 00:00:00,224993280,3313c7702e2e25cd0338e4dc78c2434dba76c721,4e13d77c7d77699d1f1de1651316c46a
DS2413+,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_DS2413%2B_15047.pat,DSM_DS2413%2B_15047.pat,2017-02-21 00:00:00,212101120,cbba44b14e7263268aa931b52c354c165f16116b,7a4312c3aeb9f2efe22fc3a10dac3196
DS2411+,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_DS2411%2B_15047.pat,DSM_DS2411%2B_15047.pat,2017-02-21 00:00:00,199925760,18cbc02aa81cb04820d375b6086e7dffc6247121,c6bd8c2ef47dacc401da2ac7f89cd2e9
NVR216,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_NVR216_15047.pat,DSM_NVR216_15047.pat,2017-02-21 00:00:00,183162880,4b80cdfca9c5e0f3d911aaa0ddd71191570d4863,e3fa7a975d9e95e86a17e2d24de06924
DS3617xs,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_DS3617xs_15047.pat,DSM_DS3617xs_15047.pat,2017-02-21 00:00:00,226754560,6e75e01e445d6003dcf1e14223bcdc27a13aa2e1,58959f4ff6445e32a45ac5a1f4ed62cf
DS3612xs,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_DS3612xs_15047.pat,DSM_DS3612xs_15047.pat,2017-02-21 00:00:00,224768000,b5d022344746d06246e166c2325bae3e8573ae3a,1e25f38d0bee43010862ce31230bf789
DS3611xs,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_DS3611xs_15047.pat,DSM_DS3611xs_15047.pat,2017-02-21 00:00:00,224768000,0c519977dfa18d4d48f38a950ad70420cb91582d,73dd42bb0ad82c6654486cf65e2c06d3
FS3017,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_FS3017_15047.pat,DSM_FS3017_15047.pat,2017-02-21 00:00:00,237568000,bf37667087e71711341f938c344c2de5f9b46476,a25fbee17316602b1eb3acd9da6ea2db
USB Station 2,3.2-1983,https://global.download.synology.com/download/DSM/release/3.2/1983/DSM_USB_Station_2_1983.pat,DSM_USB_Station_2_1983.pat,2014-11-19 00:00:00,95528960,466ea02231f8db01a5c60527b657f5d64629be1c,8c1735a782540ad512b80510c15fba9a
RS4017xs+,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_RS4017xs%2B_15047.pat,DSM_RS4017xs%2B_15047.pat,2017-02-21 00:00:00,226785280,94e9b07b0a03a0f32aa931e408e64b0c9add51d1,c4618df1027fce24b5e313c200fc55a6
RC18015xs+,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_RC18015xs%2B_15047.pat,DSM_RC18015xs%2B_15047.pat,2017-02-21 00:00:00,275988480,2d2eb98b26817f7bfb727c36e6f7243c01658f22,36fd4ee315af10444f437a4d39d7ff8c
RT1900ac,1.1.3-6447,https://global.download.synology.com/download/SRM/release/1.1.3/6447/SRM_RT1900ac_6447.pat,SRM_RT1900ac_6447.pat,2017-01-12 00:00:00,179128320,259084d680e5c2a0a757907d3b2552abe570597b,6d1f2ae1e7116736f5352e26c5c71279
RT2600ac,1.1.3-6447,https://global.download.synology.com/download/SRM/release/1.1.3/6447/SRM_RT2600ac_6447.pat,SRM_RT2600ac_6447.pat,2017-01-12 00:00:00,179128320,f1efe06b2bf1f83fbaa5b62a48063ebf330327cb,6eaadf52ea2d4ea23625edada3aebc5e
DockerDSM,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_DockerDSM_15047.pat,DSM_DockerDSM_15047.pat,2017-02-21 00:00:00,180500480,f7ecab6286c35487c09e9af19fd33f2efe83c349,3b89b8b2d183276367e2fe52a828bf0f
EDS14,6.0.2-8451,https://global.download.synology.com/download/DSM/release/6.0.2/8451/DSM_EDS14_8451.pat,DSM_EDS14_8451.pat,2016-08-18 00:00:00,194160640,903059cc0c18b6844d7c4575ec22d8226dd90e05,7fbde0f1b3f0c7fe9e5e3340f0768c47
VirtualDSM,6.1-15047,https://global.download.synology.com/download/DSM/release/6.1/15047/DSM_VirtualDSM_15047.pat,DSM_VirtualDSM_15047.pat,2017-02-21 00:00:00,215746560,bab9e1f0ef5f520e7aea11061e8b6fe318e6d731,93220386f8f556edad7db9ec0fa1969c
